timestamp,platform,health_score
2026-01-03 17:58,Facebook,50.0
2026-01-03 17:58,Instagram,50.0
2026-01-03 17:58,Twitter,0.0
2026-01-03 17:59,Facebook,50.0
2026-01-03 17:59,Instagram,50.0
2026-01-03 17:59,Twitter,0.0
2026-01-03 18:04,Facebook,50.0
2026-01-03 18:04,Instagram,50.0
2026-01-03 18:04,Twitter,0.0
2026-01-03 18:45,Facebook,60.0
2026-01-03 18:45,Instagram,50.0
2026-01-03 18:45,Twitter,0.0
2026-01-03 18:51,Facebook,60.0
2026-01-03 18:51,Instagram,50.0
2026-01-03 18:51,Twitter,33.33
2026-01-03 18:52,Facebook,60.0
2026-01-03 18:52,Instagram,50.0
2026-01-03 18:52,Twitter,33.33
2026-01-04 12:21,Facebook,60.0
2026-01-04 12:21,Instagram,66.67
2026-01-04 12:21,Twitter,33.33
2026-01-04 13:00,Facebook,60.0
2026-01-04 13:00,Instagram,66.67
2026-01-04 13:00,Twitter,33.33
2026-01-04 13:11,Facebook,50.0
2026-01-04 13:11,Instagram,50.0
2026-01-04 13:11,Twitter,25.0
2026-01-04 13:35,Facebook,70.0
2026-01-04 13:35,Instagram,66.67
2026-01-04 13:35,Twitter,62.5
2026-01-04 13:40,Facebook,53.85
2026-01-04 13:40,Instagram,66.67
2026-01-04 13:40,Twitter,50.0
2026-01-04 13:41,Facebook,66.67
2026-01-04 13:41,Instagram,77.78
2026-01-04 13:41,Twitter,58.33
2026-01-04 13:42,Facebook,66.67
2026-01-04 13:42,Instagram,77.78
2026-01-04 13:42,Twitter,58.33
2026-01-04 13:43,Facebook,57.14
2026-01-04 13:43,Instagram,63.64
2026-01-04 13:43,Twitter,58.33
2026-01-04 13:47,Facebook,70.0
2026-01-04 13:47,Instagram,78.95
2026-01-04 13:47,Twitter,66.67
2026-01-04 13:49,Facebook,74.29
2026-01-04 13:49,Instagram,83.33
2026-01-04 13:49,Twitter,66.67
2026-01-04 14:10,Facebook,76.32
2026-01-04 14:10,Instagram,83.33
2026-01-04 14:10,Twitter,70.59
2026-01-04 15:00,Facebook,78.05
2026-01-04 15:00,Instagram,84.62
2026-01-04 15:00,Twitter,70.59
2026-01-04 15:38,Facebook,71.11
2026-01-04 15:38,Instagram,84.62
2026-01-04 15:38,Twitter,66.67
2026-01-04 17:10,Facebook,71.11
2026-01-04 17:10,Instagram,84.62
2026-01-04 17:10,Twitter,66.67
2026-01-04 17:11,Facebook,71.11
2026-01-04 17:11,Instagram,84.62
2026-01-04 17:11,Twitter,66.67
2026-01-04 18:00,Facebook,72.92
2026-01-04 18:00,Instagram,84.62
2026-01-04 18:00,Twitter,70.0
2026-01-04 19:36,Facebook,68.63
2026-01-04 19:36,Instagram,81.48
2026-01-04 19:36,Twitter,66.67
2026-01-04 19:37,Facebook,68.63
2026-01-04 19:37,Instagram,81.48
2026-01-04 19:37,Twitter,66.67
2026-01-05 20:00,Facebook,69.23
2026-01-05 20:00,Instagram,83.33
2026-01-05 20:00,Twitter,68.18
2026-01-05 21:00,Facebook,70.91
2026-01-05 21:00,Instagram,84.38
2026-01-05 21:00,Twitter,68.18
2026-01-05 21:51,Facebook,69.64
2026-01-05 21:51,Instagram,79.41
2026-01-05 21:51,Twitter,62.5
2026-01-05 22:00,Facebook,68.12
2026-01-05 22:00,Instagram,76.25
2026-01-05 22:00,Twitter,60.34
2026-01-05 23:00,Facebook,69.01
2026-01-05 23:00,Instagram,77.38
2026-01-05 23:00,Twitter,61.67
2026-01-06 21:00,Facebook,69.86
2026-01-06 21:00,Instagram,78.41
2026-01-06 21:00,Twitter,62.9
2026-01-07 23:28,Facebook,68.0
2026-01-07 23:28,Instagram,76.67
2026-01-07 23:28,Twitter,59.09
2026-01-07 23:36,Facebook,66.23
2026-01-07 23:36,Instagram,75.0
2026-01-07 23:36,Twitter,55.71
2026-01-09 17:52,Facebook,66.67
2026-01-09 17:52,Instagram,71.88
2026-01-09 17:52,Twitter,54.17
2026-01-09 19:29,Facebook,63.64
2026-01-09 19:29,Instagram,71.88
2026-01-09 19:29,Twitter,52.7
2026-01-09 19:47,Facebook,63.64
2026-01-09 19:47,Instagram,71.88
2026-01-09 19:47,Twitter,52.7
2026-01-09 20:00,Facebook,64.04
2026-01-09 20:00,Instagram,73.53
2026-01-09 20:00,Twitter,53.95
2026-01-09 21:00,Facebook,65.22
2026-01-09 21:00,Instagram,73.08
2026-01-09 21:00,Twitter,55.13
2026-01-17 16:00,Facebook,65.96
2026-01-17 16:00,Instagram,74.07
2026-01-17 16:00,Twitter,56.25
2026-01-17 17:00,Facebook,66.84
2026-01-17 17:00,Instagram,75.0
2026-01-17 17:00,Twitter,56.25
2026-01-18 19:00,Facebook,68.14
2026-01-18 19:00,Instagram,75.0
2026-01-18 19:00,Twitter,57.32
2026-01-26 22:00,Facebook,68.57
2026-01-26 22:00,Instagram,75.44
2026-01-26 22:00,Twitter,58.33
2026-01-26 22:13,Facebook,69.16
2026-01-26 22:13,Instagram,75.44
2026-01-26 22:13,Twitter,61.11
2026-01-26 23:00,Facebook,69.16
2026-01-26 23:00,Instagram,76.67
2026-01-26 23:00,Twitter,62.77
2026-01-27 00:00,Facebook,70.27
2026-01-27 00:00,Instagram,76.67
2026-01-27 00:00,Twitter,64.29
