comment_id,post_id,user_handle,comment_text,timestamp
C_0001,POST_0001,user_123,This is exactly what I was looking for! 💚,2025-11-07 10:00:00
C_0002,POST_0001,user_456,Price is a bit high for me,2025-11-07 11:30:00
C_0003,POST_0002,user_888,Ekdum mast product hai! 👌,2025-11-07 12:00:00
C_0004,POST_0003,user_221,Worst service ever. No reply to my DMs.,2025-11-07 12:15:00
C_0005,POST_0003,user_999,The app keeps crashing when I try to checkout. Very bad experience!,2026-01-03 14:00:00
C_0006,POST_0002,user_444,Delivery was delayed by 2 weeks. I want a refund now.,2026-01-03 14:30:00
C_0007,POST_0001,user_111,I received a broken item. Support is not picking up the call.,2026-01-03 15:00:00
C_0008,POST_0004,user_777,Does this come in Blue color? Love the design btw.,2026-01-03 15:15:00
C_6086,POST_0001,digital_nomad,"Ekdum mast product hai, fast delivery.",2026-01-03 18:45:50
C_6310,POST_0003,digital_nomad,"Decent product, but packaging could be better.",2026-01-03 18:51:52
C_7324,POST_0002,eco_warrior,"Ekdum mast product hai, fast delivery.",2026-01-04 12:20:56
C_8784,POST_0002,user_682,1. Website crash ruined my order 😡 Fix your servers!,2026-01-04 13:11:32
C_6834,POST_0004,user_444,"2. Received broken items 😠 Unacceptable, replace immediately!",2026-01-04 13:11:32
C_6969,POST_0003,user_231,3. Shipping delay caused missed event 🤬 Refund for inconvenience ASAP.,2026-01-04 13:11:32
C_5065,POST_0001,user_984,"1. OMG, the new sustainable collection is everything I've been waiting for! 🌿♻️ Love this!",2026-01-04 13:35:44
C_8828,POST_0003,user_804,"2. Finally, a brand that cares about the planet as much as I do! 🌎🙌",2026-01-04 13:35:44
C_5905,POST_0002,user_263,3. This collection is giving me life! Can't wait to shop 'til I drop! 💚🛍️,2026-01-04 13:35:44
C_8644,POST_0003,user_446,4. Sustainable fashion goals! My closet is about to get a major upgrade. 🌱💃,2026-01-04 13:35:44
C_8263,POST_0001,user_200,"5. Eek, so excited for this eco-friendly goodness! It's about time! 🌿🎉",2026-01-04 13:35:44
C_9661,POST_0004,user_218,6. Thank you for making sustainable fashion look so chic! Obsessed. 💁‍♀️🌟,2026-01-04 13:35:44
C_9819,POST_0003,user_211,7. My heart is bursting with joy over this collection! So much love! 💖🌿,2026-01-04 13:35:44
C_8245,POST_0003,user_788,"8. Brb, crying tears of joy over this sustainable fashion dream come true. 😭💚",2026-01-04 13:35:44
C_5081,POST_0001,user_513,9. Squealing with excitement over the launch of this amazing sustainable collection! 🙊🙌,2026-01-04 13:35:44
C_6658,POST_0002,user_849,10. Consider me officially obsessed with everything in this eco-friendly line! Yasss! 🌿💫,2026-01-04 13:35:44
C_7905,POST_0001,user_858,1. Website crash ruined my order! 😡,2026-01-04 13:40:10
C_7686,POST_0003,user_381,"2. Broken items received, unacceptable! 😠",2026-01-04 13:40:10
C_5144,POST_0004,user_992,3. Shipping delay caused major inconvenience. 😤,2026-01-04 13:40:10
C_7144,POST_0004,user_419,"4. Unreliable service, disappointed with this brand. 😡",2026-01-04 13:40:10
C_9203,POST_0003,user_974,5. Frustrated by poor customer experience. 😠,2026-01-04 13:40:10
C_5874,POST_0004,user_820,1. Love the eco-friendly options! 💚,2026-01-04 13:41:01
C_9551,POST_0003,user_412,2. Great selection of organic materials. 👌,2026-01-04 13:41:01
C_6509,POST_0004,user_348,3. Sustainable fashion never looked so good! 😍,2026-01-04 13:41:01
