session_id,user_id,platform,campaign_id,campaign_name,timestamp,session_order,converted,conversion_value
sess_000001,user_010000,google,CAMP_0040,Product Launch - Sustainable Clothing - Nov2025,2025-12-04 10:38:00,1,True,2792.25
sess_000002,user_010001,google,CAMP_0040,Product Launch - Sustainable Clothing - Nov2025,2025-12-04 22:35:00,1,True,3744.59
sess_000003,user_010002,instagram,CAMP_0020,Product Launch - Eco Accessories - Oct2025,2025-11-09 15:17:00,1,True,1082.55
sess_000004,user_010003,facebook,CAMP_0037,Flash Sale - Eco Accessories - Nov2025,2025-12-17 11:13:00,1,True,3381.6
sess_000005,user_010004,facebook,CAMP_0004,Festive Campaign - Green Living - Nov2025,2025-12-01 19:10:00,1,True,1748.55
sess_000006,user_010005,instagram,CAMP_0031,Flash Sale - Organic Footwear - Sep2025,2025-10-23 00:36:00,1,True,3379.13
sess_000007,user_010006,google,CAMP_0009,Brand Awareness - Green Living - Nov2025,2025-11-27 08:41:00,1,True,2022.61
sess_000008,user_010007,google,CAMP_0016,Festive Campaign - Sustainable Clothing - Nov2025,2025-11-29 10:21:00,1,True,646.72
sess_000009,user_010008,facebook,CAMP_0033,Product Launch - Eco Accessories - Oct2025,2025-11-13 11:53:00,1,True,955.27
sess_000010,user_010009,instagram,CAMP_0048,Influencer Collaboration - Sustainable Clothing - Oct2025,2025-11-09 01:43:00,1,True,1223.92
sess_000011,user_010010,facebook,CAMP_0044,Flash Sale - Organic Footwear - Nov2025,2025-11-24 22:47:00,1,True,1934.75
sess_000012,user_010011,facebook,CAMP_0004,Festive Campaign - Green Living - Nov2025,2025-12-01 07:41:00,1,True,2366.96
sess_000013,user_010012,instagram,CAMP_0042,Festive Campaign - Organic Footwear - Sep2025,2025-10-10 18:21:00,1,True,1859.17
sess_000014,user_010013,google,CAMP_0038,Festive Campaign - Eco Accessories - Nov2025,2025-12-28 16:40:00,1,True,2826.2
sess_000015,user_010014,facebook,CAMP_0049,Influencer Collaboration - Green Living - Sep2025,2025-09-26 11:25:00,1,True,2465.42
sess_000016,user_010015,facebook,CAMP_0005,Festive Campaign - Eco Accessories - Sep2025,2025-10-08 14:25:00,1,True,1183.18
sess_000017,user_010016,facebook,CAMP_0011,Influencer Collaboration - Sustainable Clothing - Oct2025,2025-10-18 03:59:00,1,True,972.41
sess_000018,user_010017,facebook,CAMP_0024,Product Launch - Organic Footwear - Nov2025,2025-11-27 11:42:00,1,True,1911.09
sess_000019,user_010018,google,CAMP_0016,Festive Campaign - Sustainable Clothing - Nov2025,2025-11-29 14:48:00,1,True,1016.85
sess_000020,user_010019,instagram,CAMP_0035,Flash Sale - Organic Footwear - Nov2025,2025-11-15 08:52:00,1,True,1448.58
sess_000021,user_010020,instagram,CAMP_0031,Flash Sale - Organic Footwear - Sep2025,2025-10-23 04:00:00,1,True,2677.5
sess_000022,user_010021,facebook,CAMP_0018,Influencer Collaboration - Green Living - Oct2025,2025-10-30 11:14:00,1,True,1244.23
sess_000023,user_010022,facebook,CAMP_0023,Product Launch - Sustainable Clothing - Oct2025,2025-11-02 22:20:00,1,True,4541.53
sess_000024,user_010023,instagram,CAMP_0026,Influencer Collaboration - Organic Footwear - Nov2025,2025-11-22 20:28:00,1,True,757.32
sess_000025,user_010024,instagram,CAMP_0020,Product Launch - Eco Accessories - Oct2025,2025-11-09 11:49:00,1,True,1038.64
sess_000026,user_010025,instagram,CAMP_0017,Festive Campaign - Green Living - Sep2025,2025-10-01 12:19:00,1,True,1768.74
sess_000027,user_010026,instagram,CAMP_0029,Influencer Collaboration - Organic Footwear - Nov2025,2025-12-01 21:03:00,1,True,2215.45
sess_000028,user_010027,facebook,CAMP_0027,Product Launch - Sustainable Clothing - Nov2025,2025-12-15 19:29:00,1,True,1522.11
sess_000029,user_010028,facebook,CAMP_0006,Influencer Collaboration - Sustainable Clothing - Sep2025,2025-10-25 02:38:00,1,True,3326.06
sess_000030,user_010029,instagram,CAMP_0001,Flash Sale - Eco Accessories - Sep2025,2025-10-05 01:49:00,1,True,988.75
sess_000031,user_010030,facebook,CAMP_0046,Festive Campaign - Eco Accessories - Nov2025,2025-12-01 08:14:00,1,True,2054.55
sess_000032,user_010031,instagram,CAMP_0007,Flash Sale - Organic Footwear - Oct2025,2025-11-04 17:10:00,1,True,787.94
sess_000033,user_010032,facebook,CAMP_0023,Product Launch - Sustainable Clothing - Oct2025,2025-11-02 15:31:00,1,True,4100.37
sess_000034,user_010033,facebook,CAMP_0045,Influencer Collaboration - Sustainable Clothing - Oct2025,2025-11-01 07:23:00,1,True,1319.66
sess_000035,user_010034,google,CAMP_0038,Festive Campaign - Eco Accessories - Nov2025,2025-12-28 08:38:00,1,True,3591.98
sess_000036,user_010035,facebook,CAMP_0041,Festive Campaign - Sustainable Clothing - Nov2025,2025-12-18 16:20:00,1,True,1661.13
sess_000037,user_010036,google,CAMP_0034,Brand Awareness - Green Living - Sep2025,2025-10-05 19:27:00,1,True,1415.34
sess_000038,user_010037,facebook,CAMP_0044,Flash Sale - Organic Footwear - Nov2025,2025-11-24 08:03:00,1,True,2303.38
sess_000039,user_010038,instagram,CAMP_0029,Influencer Collaboration - Organic Footwear - Nov2025,2025-12-01 22:13:00,1,True,2442.57
sess_000040,user_010039,google,CAMP_0043,Brand Awareness - Eco Accessories - Oct2025,2025-10-24 01:53:00,1,True,3159.33
sess_000041,user_010040,google,CAMP_0038,Festive Campaign - Eco Accessories - Nov2025,2025-12-28 23:51:00,1,True,2281.95
sess_000042,user_010041,facebook,CAMP_0011,Influencer Collaboration - Sustainable Clothing - Oct2025,2025-10-18 21:11:00,1,True,623.46
