campaign_id,campaign_name,platform,last_click_conversions,last_click_revenue,last_click_roas,attributed_conversions,attributed_revenue,attributed_roas,attributed_cpa,attributed_conversion_rate,conversion_lift_pct,revenue_lift_pct,roas_lift,total_spend
CAMP_0001,Flash Sale - Eco Accessories - Sep2025,instagram,143,144859.0,2.08,195.76,223490.96,3.21,355.99,2.21,36.9,54.28,1.13,69689.37
CAMP_0002,Product Launch - Eco Accessories - Oct2025,instagram,90,219420.0,6.15,178.33,422415.56,11.84,200.08,5.79,98.15,92.51,5.69,35680.49
CAMP_0003,Flash Sale - Organic Footwear - Oct2025,instagram,124,216008.0,2.95,171.0,297856.95,4.06,428.63,2.92,37.9,37.89,1.11,73296.01
CAMP_0007,Flash Sale - Organic Footwear - Oct2025,instagram,115,98900.0,1.48,170.0,171762.63,2.57,392.82,3.26,47.83,73.67,1.09,66779.48
CAMP_0010,Influencer Collaboration - Organic Footwear - Sep2025,instagram,267,460575.0,5.94,164.29,288509.9,3.72,472.14,1.88,-38.47,-37.36,-2.22,77565.81
CAMP_0014,Flash Sale - Sustainable Clothing - Oct2025,instagram,141,268041.0,2.85,166.0,330157.67,3.51,566.97,2.16,17.73,23.17,0.66,94116.84
CAMP_0017,Festive Campaign - Green Living - Sep2025,instagram,84,227220.0,9.83,184.24,482860.73,20.88,125.5,6.93,119.33,112.51,11.05,23121.72
CAMP_0020,Product Launch - Eco Accessories - Oct2025,instagram,381,329481.62,2.75,186.95,191233.07,1.6,640.84,1.34,-50.93,-41.96,-1.15,119806.54
CAMP_0026,Influencer Collaboration - Organic Footwear - Nov2025,instagram,232,196272.0,2.54,175.38,179280.79,2.32,441.57,2.27,-24.4,-8.66,-0.22,77442.55
CAMP_0028,Influencer Collaboration - Green Living - Nov2025,instagram,168,254352.0,2.92,173.95,286793.03,3.29,500.93,1.91,3.54,12.75,0.37,87138.72
CAMP_0029,Influencer Collaboration - Organic Footwear - Nov2025,instagram,32,67616.0,3.63,153.38,308881.62,16.53,121.8,6.21,379.32,356.82,12.9,18681.21
CAMP_0031,Flash Sale - Organic Footwear - Sep2025,instagram,353,1149368.0,7.8,196.33,607401.76,4.12,750.43,0.99,-44.38,-47.15,-3.68,147333.69
CAMP_0035,Flash Sale - Organic Footwear - Nov2025,instagram,27,53514.0,5.24,177.24,350206.65,34.25,57.7,12.46,556.44,554.42,29.01,10226.02
