post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0003,Twitter,organic,Style guide: How to wear our Sustainable Clothing in 3 different ways 👗 #FashionTips #Sustainable,image,22-09-2025,05:16:31,13021,8773,81,8,2,0,1.04
POST_0006,Twitter,organic,New collection launch! Check out our latest Sustainable Clothing 🌿 #Sustainable #EcoFriendly,video,27-09-2025,09:20:29,30639,26560,721,51,25,0,3.0
POST_0022,Twitter,organic,New collection launch! Check out our latest Sustainable Clothing 🌿 #Sustainable #EcoFriendly,image,06-11-2025,15:25:03,26280,22813,626,35,25,0,3.13
POST_0024,Twitter,organic,New collection launch! Check out our latest Green Living 🌿 #Sustainable #EcoFriendly,video,16-09-2025,09:03:51,28904,19040,366,40,26,0,2.14
POST_0026,Twitter,organic,New collection launch! Check out our latest Organic Footwear 🌿 #Sustainable #EcoFriendly,video,10-10-2025,12:20:35,28833,19095,303,31,16,0,1.74
POST_0030,Twitter,organic,Limited stock! Jaldi order karo Organic Footwear ⚡ #LimitedEdition #HurryUp,video,18-10-2025,19:56:32,21369,17009,205,18,10,0,1.28
POST_0034,Twitter,organic,Meet our artisans: The hands behind your favorite Sustainable Clothing 👐 #Artisan #Handcrafted,image,13-10-2025,06:14:14,21043,16376,497,45,13,0,3.39
POST_0040,Twitter,organic,Limited time offer on Green Living! Shop now ⚡ #Sale #SustainableLiving,video,06-10-2025,07:19:45,26244,22046,209,12,15,0,1.07
POST_0041,Twitter,organic,Flat 20% off on all Green Living! Use code: ECO20 🎉 #Discount #ShopNow,image,15-10-2025,03:33:36,32242,26219,530,63,18,0,2.33
POST_0045,Twitter,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,video,04-12-2025,02:48:48,17475,14350,490,36,13,0,3.6
POST_0050,Twitter,organic,Flat 20% off on all Eco Accessories! Use code: ECO20 🎉 #Discount #ShopNow,carousel,20-10-2025,20:44:09,19914,16420,242,25,17,0,1.78
POST_0054,Twitter,organic,Behind the scenes of our Green Living production 📸 #EthicalFashion #Handmade,image,30-11-2025,07:23:19,27502,17576,141,17,3,0,0.87
POST_0055,Twitter,organic,Behind the scenes of our Sustainable Clothing production 📸 #EthicalFashion #Handmade,image,09-11-2025,12:03:17,15523,9276,263,26,16,0,3.38
POST_0063,Twitter,organic,Flat 20% off on all Green Living! Use code: ECO20 🎉 #Discount #ShopNow,image,08-12-2025,07:12:41,30494,25127,257,19,19,0,1.17
POST_0064,Twitter,organic,Weekend vibes with Sustainable Clothing ☀️ #WeekendStyle #SustainableFashion,video,17-09-2025,02:47:37,22889,16062,431,41,26,0,3.22
POST_0069,Twitter,organic,Customer love! Thank you for choosing sustainable 💚 #CustomerStory #EcoStyle,image,05-12-2025,15:40:57,64001,40591,4130,35,594,0,2.56
POST_0072,Twitter,organic,New collection launch! Check out our latest Sustainable Clothing 🌿 #Sustainable #EcoFriendly,image,05-10-2025,04:30:36,13682,9643,230,26,11,0,2.77
